id	group	element	pos	alleleA	alleleB	alleleC	alleleD	alleleE	posControl	negControl
maptprom_chr17_45893584_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893584	chr17_45893584	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893585_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893585	chr17_45893585	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893586_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893586	chr17_45893586	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893587_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893587	chr17_45893587	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893588_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893588	chr17_45893588	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893589_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893589	chr17_45893589	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893590_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893590	chr17_45893590	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893591_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893591	chr17_45893591	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893592_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893592	chr17_45893592	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893593_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893593	chr17_45893593	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893594_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893594	chr17_45893594	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893595_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893595	chr17_45893595	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893596_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893596	chr17_45893596	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893597_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893597	chr17_45893597	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893598_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893598	chr17_45893598	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893599_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893599	chr17_45893599	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893600_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893600	chr17_45893600	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893601_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893601	chr17_45893601	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893602_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893602	chr17_45893602	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893603_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893603	chr17_45893603	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893604_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893604	chr17_45893604	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893605_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893605	chr17_45893605	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893606_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893606	chr17_45893606	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893607_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893607	chr17_45893607	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893608_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893608	chr17_45893608	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893609_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893609	chr17_45893609	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893610_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893610	chr17_45893610	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893611_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893611	chr17_45893611	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893612_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893612	chr17_45893612	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893613_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893613	chr17_45893613	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893614_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893614	chr17_45893614	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893615_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893615	chr17_45893615	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893616_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893616	chr17_45893616	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893617_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893617	chr17_45893617	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893618_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893618	chr17_45893618	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893619_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893619	chr17_45893619	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893620_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893620	chr17_45893620	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893621_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893621	chr17_45893621	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893622_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893622	chr17_45893622	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893623_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893623	chr17_45893623	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893624_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893624	chr17_45893624	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893625_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893625	chr17_45893625	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893626_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893626	chr17_45893626	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893627_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893627	chr17_45893627	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893628_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893628	chr17_45893628	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893629_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893629	chr17_45893629	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893630_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893630	chr17_45893630	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893631_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893631	chr17_45893631	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893632_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893632	chr17_45893632	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893633_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893633	chr17_45893633	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893634_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893634	chr17_45893634	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893635_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893635	chr17_45893635	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893636_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893636	chr17_45893636	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893637_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893637	chr17_45893637	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893638_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893638	chr17_45893638	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893639_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893639	chr17_45893639	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893640_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893640	chr17_45893640	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893641_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893641	chr17_45893641	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893642_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893642	chr17_45893642	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893643_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893643	chr17_45893643	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893644_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893644	chr17_45893644	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893645_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893645	chr17_45893645	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893646_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893646	chr17_45893646	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893647_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893647	chr17_45893647	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893648_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893648	chr17_45893648	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893649_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893649	chr17_45893649	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893650_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893650	chr17_45893650	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893651_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893651	chr17_45893651	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893652_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893652	chr17_45893652	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893653_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893653	chr17_45893653	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893654_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893654	chr17_45893654	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893655_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893655	chr17_45893655	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893656_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893656	chr17_45893656	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893657_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893657	chr17_45893657	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893658_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893658	chr17_45893658	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893659_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893659	chr17_45893659	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893660_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893660	chr17_45893660	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893661_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893661	chr17_45893661	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893662_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893662	chr17_45893662	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893663_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893663	chr17_45893663	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893664_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893664	chr17_45893664	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893665_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893665	chr17_45893665	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893666_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893666	chr17_45893666	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893667_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893667	chr17_45893667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893668_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893668	chr17_45893668	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893669_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893669	chr17_45893669	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893670_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893670	chr17_45893670	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893671_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893671	chr17_45893671	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893672_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893672	chr17_45893672	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893673_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893673	chr17_45893673	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893674_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893674	chr17_45893674	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893675_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893675	chr17_45893675	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893676_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893676	chr17_45893676	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893677_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893677	chr17_45893677	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893678_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893678	chr17_45893678	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893679_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893679	chr17_45893679	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893680_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893680	chr17_45893680	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893681_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893681	chr17_45893681	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893682_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893682	chr17_45893682	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893683_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893683	chr17_45893683	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893684_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893684	chr17_45893684	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893685_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893685	chr17_45893685	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893686_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893686	chr17_45893686	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893687_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893687	chr17_45893687	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893688_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893688	chr17_45893688	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893689_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893689	chr17_45893689	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893690_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893690	chr17_45893690	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893691_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893691	chr17_45893691	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893692_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893692	chr17_45893692	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893693_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893693	chr17_45893693	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
